"Timestamp,""Name (It will be only used for the private records of the authors and will remain anonymous to the public audience)"",""1. How much experience do you have in web development?"",""2. Select the role that fits you best?"",""3. Which of the following stacks have you had experience with?"",""4. How much experience do you have in JAMstack?"",""5. How much experience do you have in traditional stacks (LAMP/MEAN/MERN)?"",""6. To which of the following stacks are you leaning towards? (3 - neutral)"",""7. Which of the following APIs and tools have you heard of and find useful for JAMstack?"",""8. Are there any APIs or tools for JAMstack that you would particularly point out?"",""Performance - With static pages delivered through CDN the loading speed of the JAMstack website usually achieves the highest possible score on speed tests. There are three aspects that are usually used as metrics of website speed and they are: LCP (largest contentful paint), FID (first input delay), CLS (cumulative layout shift)."",""Security – Thanks to the static storage or CDN that serves your application, APIs that are read-only and accessible exclusively for building environment, attacks can be reduced to minimum if not even removed completely. Since the layer has no database, sites are not vulnerable to server-side include injections. Besides, the use of external platforms such as Netlify can provide protection against DDOS and DNS attacks."",""Flexibility - JAMstack uses third-party services more known as headless CMS for managing content on the website. Since headless CMS are separated from the front-end of the website it means that the API that is created with headless CMS can be used and easily displayed across multiple platforms."",""Pricing - The whole JAMstack website requires a small amount of resources and can be hosted on CDN using some free static hosting like Netlify or GitHub Pages which will reduce the cost. "",""SEO - JAMstack page content is static which means that the speed of the website will be fast and indexing the pages of the website will be a lot easier in comparison with other web stacks which are the two most important factors for a good ranking on the internet."",""Developer experience - JAMstack developers have more freedom in choosing the technologies they will use in accordance with their knowledge, wishes and needs unlike other web stacks. The fact that front-end is separated from the backend makes developer experience far more enjoyable and easier because they can focus on one thing. Since JAMstack is static, all files can be stored on GitHub, Netlify or Vercel which makes the deployment easy and what matters to many, all for free. "",""Dynamic functionalities - While JAMstack can be dynamic it is usually harder to implement some dynamic functionality and it mostly requires relying on third-party services for adding more complex features (For example if you want to have search on your website you can't do it on your own. You will need to use Algolia or other third-party service)."",""Delay in live preview - Before seeing the actual changes on the website, everything needs to be pushed on Github. This can cause frequent delays especially when it comes to very dynamic sites that need constant changing of the content. "",""Availability -  In case the system goes down, your website will feel the consequences because there is no communication with the API. Whether a solution will be reached and if the system will function again, is out of your hands and depends entirely on the provider. "",""Confidentiality -  Entrusting all content to a third-party is the risk that confidential content could be disclosed."",""11. Did you encounter any other limitations or benefits that are not already listed while using JAMstack? Please describe them."",""Blog and Portfolio"",""E-commerce"",""Social media"",""News and Magazine"",""Media streaming"",""13. What would you list as the advantage of traditional stacks (LAMP, MEAN, MERN) over JAMstack? Please explain."",""14. In your experience so far, do you think JAMstack will be able to overcome other web stacks in the future and become de facto standard? Please elaborate your answer."",""Please explain your previous answer"",""Rate the survey"",""Comments or suggestions about the survey""";;;;;;;;;;;
"2021/05/25 9:28:55 am EET,"""",""1 - 3 years"",""Full-stack developer"",""LAMP"",""Less than a year"",""1 - 3 years"",""5"",""GraphQL"",""NOTE: I've never used JAMstack so that my answer to question no. 7 should not be considered (I marked GraphQL only because the question is mandatory). Even in question no. 4 I would like to write no experience."",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""I never used JAMstack, only LAMP "",""3"",""3"",""3"",""3"",""3"","""",""3"",""never used JAMstack"",""3"",""never used JAMstack""";;;;;;;;;;;
"2021/05/25 11:57:46 am EET,"""",""1 - 3 years"",""Back-end developer"",""LAMP";"MERN"",""Less than a year"",""1 - 3 years"",""2"",""Auth0";Netlify Forms;"GraphQL"","""",""4"",""3"",""4"",""5"",""4"",""4"",""2"",""4"",""4"",""3"","""",""1"",""3"",""5"",""1"",""4"","""",""2"","""",""4"",""""";;;;;;;;
"2021/05/28 1:25:55 pm EET,""Milos"",""3 - 5 years"",""Front-end developer"",""JAMstack";LAMP;MERN;"MEVN"",""Less than a year"",""1 - 3 years"",""3"",""Algolia";Netlify Forms;Snipcart;Stripe;Strapi;"GraphQL"",""Netlify CMS"",""5"",""5"",""4"",""4"",""5"",""4"",""3"",""3"",""3"",""3"","""",""1"",""3"",""2"",""2"",""5"",""Proven flexibility without sometimes trickingway of funxtionalities"",""3"","""",""4"",""""";;;
"2021/05/28 1:30:29 pm EET,""James"",""5 - 10 years"",""Full-stack developer"",""JAMstack";"LAMP"",""1 - 3 years"",""More than 3 years"",""1"",""Algolia";Auth0;Netlify Forms;Snipcart;Stripe;Strapi;GraphQL;"FaunaDB"",""Next.js, Sanity, Redwood"",""5"",""5"",""5"",""4"",""3"",""4"",""3"",""1"",""2"",""2"",""Full control of data. Ability to move to different storage requirement (eg EC2)"",""1"",""1"",""1"",""1"",""1"",""None other than habit and pre learnt knowledge "",""5"",""It’s just so obvious to move from monolith to edge delivered content"",""5"",""""";;;
"2021/05/28 1:45:37 pm EET,""Artur Czemiel"",""More than 10 years"",""Full-stack developer"",""JAMstack";MERN;"GraphQL SSG, Stucco"",""More than 3 years"",""More than 3 years"",""1"",""GraphQL"",""graphql-ssg, graphcms"",""5"",""5"",""5"",""5"",""5"",""5"",""1"",""3"",""1"",""1"",""no there are no limits"",""1"",""1"",""1"",""1"",""3"",""No advantage you misunderstood JAMStack"",""5"",""JAMStack is separation static from dynamic elements. You can use both worlds easily."",""3"",""JAMStack is just feeding data in SSG process. I recommend to look at graphql-ssg as it meets both worlds. NextJS also""";;;;;;;;;
"2021/05/28 1:47:06 pm EET,""Massimo Scardellato"",""More than 10 years"",""CTO"",""JAMstack";LAMP;"MEAN"",""1 - 3 years"",""More than 3 years"",""1"",""Algolia";Auth0;Netlify Forms;Snipcart;Stripe;Strapi;GraphQL;"FaunaDB"",""Commerce Layer"",""4"",""5"",""5"",""4"",""5"",""5"",""4"",""1"",""1"",""1"","""",""1"",""1"",""3"",""1"",""3"","""",""3"",""The point is that JAMstack is mainly related to sites, but the ways to interact with user/customers are many and in general is the headless approach that will win or better has already won over monolithic approaches"",""4"",""""";;
"2021/06/01 4:35:37 pm EET,""Giona G"",""5 - 10 years"",""Full-stack developer"",""LAMP";MERN;"Linux + Java + PostgreSQL + Docker + Kubernets "",""Less than a year"",""More than 3 years"",""5"",""Auth0"",""none. Jamstack sucks"",""1"",""1"",""1"",""2"",""1"",""1"",""5"",""5"",""3"",""1"",""security is very low"",""1"",""5"",""5"",""5"",""5"",""freedom"",""1"","""",""1"",""this survery makes no sense""";;;;;;;;;
"2021/06/01 4:46:03 pm EET,""Tiziano"",""5 - 10 years"",""Full-stack developer"",""None"",""Less than a year"",""Less than a year"",""3"",""Auth0"",""No"",""3"",""3"",""3"",""1"",""3"",""3"",""3"",""3"",""3"",""3"",""No"",""3"",""3"",""3"",""3"",""3"",""No"",""3"",""No"",""1"",""""";;;;;;;;;;;
"2021/06/01 4:51:02 pm EET,""Mario"",""3 - 5 years"",""Back-end developer"",""Java Kafka Cassandra Docker"",""Less than a year"",""Less than a year"",""3"",""GraphQL"",""I never heard of jamstack"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"","""",""5"",""3"",""3"",""3"",""3"","""",""1"",""never heard of jamstack"",""1"",""""";;;;;;;;;;;
"2021/06/15 10:25:37 am EET,"""",""More than 10 years"",""Front-end developer"",""JAMstack";"LAMP"",""More than 3 years"",""More than 3 years"",""1"",""Netlify Forms";Snipcart;Strapi;GraphQL;"FaunaDB"",""Serverless functions"",""5"",""5"",""5"",""5"",""5"",""5"",""4"",""5"",""2"",""3"",""Interchangeability between backend services "",""1"",""1"",""3"",""1"",""1"",""Can't think of any."",""2"",""Still need a dev to get setup, less approachable to non-technical folks"",""4"",""""";;;;;;
"2021/06/21 7:29:32 pm EET,"""",""1 - 3 years"",""Front-end developer"",""JAMstack";"MERN"",""Less than a year"",""Less than a year"",""1"",""Auth0";Netlify Forms;Snipcart;Stripe;Strapi;"GraphQL"",""Forestry.io (headless CMS) "",""5"",""5"",""5"",""5"",""5"",""5"",""4"",""3"",""4"",""2"","""",""1"",""3"",""1"",""2"",""4"","""",""5"",""Jamstack is the best alternative for WordPress and I think its use will definitely increase in the future! "",""4"",""""";;;;;
"2021/09/12 8:07:45 pm EET,""Tamas Piros"",""More than 10 years"",""Developer Experience Engineer"",""JAMstack";LAMP;MEAN;"MERN"",""1 - 3 years"",""More than 3 years"",""1"",""Algolia";Auth0;Netlify Forms;Snipcart;Stripe;Strapi;GraphQL;"FaunaDB"",""Cloudinary "",""3"",""3"",""3"",""3"",""3"",""1"",""2"",""3"",""1"",""2"","""",""1"",""3"",""3"",""2"",""2"","""",""3"","""",""3"",""In the first part I found some questions which couldn’t be answered straightforwardly for a number of reasons, happy to discuss those during our meeting on Tuesday """;
